,Week 0
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Staryi Krym,8573,9137,625,8268,244,8512,8,20
Alupka,7602,7810,187,6196,1427,7623,7,6

,Week 21
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-171455,319303,49818,88975,180510,269485,0,2111
Kerch,-47361,142072,21901,38965,81206,120171,0,890
Yevpatoria,-32050,100376,19833,24866,55677,80543,0,811
Yalta,-65115,72450,16648,7779,48023,55802,0,705
Feodosia,-3505,63720,14297,24513,24910,49423,0,588
Dzhankoy,-1931,36554,6743,17701,12110,29811,0,272
Alushta,-8882,28183,6405,10996,10782,21778,0,262
Bakhchysarai,2055,25373,4390,14192,6791,20983,2,164
Krasnoperekopsk,7003,23888,3983,14569,5336,19905,7,150
Saky,10517,23562,2785,16244,4533,20777,10,112
Armyansk,10879,21045,2341,15129,3575,18704,10,82
Sudak,11777,16452,1821,12754,1877,14631,11,66
Belogorsk,12243,15749,2621,11640,1488,13128,12,93
Shcholkine,9069,10040,807,8663,570,9233,9,31
Staryi Krym,8365,9089,1006,7642,441,8083,8,42
Alupka,7786,7796,320,5850,1626,7476,7,11

,Week 22
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-207799,317825,35443,79491,202891,282382,0,1475
Kerch,-63254,141348,15359,32964,93025,125989,0,643
Yevpatoria,-47855,99697,13841,19438,66418,85856,0,595
Yalta,-78973,72044,10868,5179,55997,61176,0,416
Feodosia,-15331,62968,13858,17763,31347,49110,0,564
Dzhankoy,-7183,36394,6806,14397,15191,29588,0,303
Alushta,-14198,27918,6263,9091,12564,21655,0,262
Bakhchysarai,-1285,25187,4119,12796,8272,21068,0,168
Krasnoperekopsk,4011,23726,4074,13067,6585,19652,4,183
Saky,8763,23460,2782,15365,5313,20678,8,109
Armyansk,9465,20916,1938,14690,4288,18978,9,98
Sudak,10677,16342,1651,12285,2406,14691,10,64
Belogorsk,10269,15756,2977,10508,2271,12779,10,108
Shcholkine,8716,10001,919,8233,849,9082,8,40
Staryi Krym,7757,9099,1390,6973,736,7709,7,54
Alupka,7830,7737,498,5423,1816,7239,7,16

,Week 23
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-229123,316760,26239,72031,218490,290521,0,1092
Kerch,-72313,141077,10386,29012,101679,130691,0,420
Yevpatoria,-57404,99062,8999,15686,74377,90063,0,398
Yalta,-86782,71856,6186,3938,61732,65670,0,255
Feodosia,-26733,62354,11187,12941,38226,51167,0,447
Dzhankoy,-12510,36109,6365,11302,18442,29744,0,270
Alushta,-19378,27652,5823,7384,14445,21829,0,269
Bakhchysarai,-4351,25105,3729,11755,9621,21376,0,156
Krasnoperekopsk,919,23540,4091,11602,7847,19449,0,157
Saky,7008,23288,2834,14338,6116,20454,7,139
Armyansk,8468,20891,1839,14299,4753,19052,8,84
Sudak,9752,16343,1502,11932,2909,14841,9,52
Belogorsk,7924,15617,3052,9443,3122,12565,7,133
Shcholkine,8243,9931,1001,7805,1125,8930,8,48
Staryi Krym,6746,9029,1586,6315,1128,7443,6,61
Alupka,7686,7672,681,5011,1980,6991,7,32

,Week 24
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-240836,316230,20505,66159,229566,295725,0,831
Kerch,-76165,140585,7109,26084,107392,133476,0,278
